trip_id,start_time,start_date,route_id,stop_id,stop_sequence,arrival_delay,arrival_time,arrival_uncertainty,departure_delay,departure_time,departure_uncertainty,schedule_relationship,id,timestamp,shape_id
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,897,4.0,-198.0,1629929622.0,30.0,-198.0,1629929622.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629928038,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,891,5.0,-143.0,1629929737.0,30.0,-143.0,1629929737.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629928038,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,884,6.0,-156.0,1629929844.0,30.0,-156.0,1629929844.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629928038,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,893,7.0,-196.0,1629929924.0,30.0,-196.0,1629929924.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629928038,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,10792,8.0,-260.0,1629930040.0,30.0,-260.0,1629930040.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629928038,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,10780,9.0,-330.0,1629930150.0,30.0,-330.0,1629930150.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629928038,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,10866,10.0,-351.0,1629930429.0,30.0,-351.0,1629930429.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629928038,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,1090,11.0,-404.0,1629930556.0,30.0,-351.0,1629930609.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629928038,3330072
18313865-BT 21_22-AUG_FUL-Weekday-01,07:55:00,20210826,333-1886,11270,1.0,,,,0.0,1629928500.0,30.0,0.0,TU-18313865-BT 21_22-AUG_FUL-Weekday-01,1629926356,3330072
18313865-BT 21_22-AUG_FUL-Weekday-01,07:55:00,20210826,333-1886,11272,2.0,5.0,1629928565.0,30.0,5.0,1629928565.0,30.0,0.0,TU-18313865-BT 21_22-AUG_FUL-Weekday-01,1629926356,3330072
18313865-BT 21_22-AUG_FUL-Weekday-01,07:55:00,20210826,333-1886,469,3.0,-77.0,1629928843.0,30.0,-77.0,1629928843.0,30.0,0.0,TU-18313865-BT 21_22-AUG_FUL-Weekday-01,1629926356,3330072
18313865-BT 21_22-AUG_FUL-Weekday-01,07:55:00,20210826,333-1886,897,4.0,-198.0,1629929022.0,30.0,-198.0,1629929022.0,30.0,0.0,TU-18313865-BT 21_22-AUG_FUL-Weekday-01,1629926356,3330072
18313865-BT 21_22-AUG_FUL-Weekday-01,07:55:00,20210826,333-1886,891,5.0,-143.0,1629929137.0,30.0,-143.0,1629929137.0,30.0,0.0,TU-18313865-BT 21_22-AUG_FUL-Weekday-01,1629926356,3330072
18313865-BT 21_22-AUG_FUL-Weekday-01,07:55:00,20210826,333-1886,884,6.0,-156.0,1629929244.0,30.0,-156.0,1629929244.0,30.0,0.0,TU-18313865-BT 21_22-AUG_FUL-Weekday-01,1629926356,3330072
18313865-BT 21_22-AUG_FUL-Weekday-01,07:55:00,20210826,333-1886,893,7.0,-196.0,1629929324.0,30.0,-196.0,1629929324.0,30.0,0.0,TU-18313865-BT 21_22-AUG_FUL-Weekday-01,1629926356,3330072
18313865-BT 21_22-AUG_FUL-Weekday-01,07:55:00,20210826,333-1886,10792,8.0,-260.0,1629929440.0,30.0,-260.0,1629929440.0,30.0,0.0,TU-18313865-BT 21_22-AUG_FUL-Weekday-01,1629926356,3330072
18313865-BT 21_22-AUG_FUL-Weekday-01,07:55:00,20210826,333-1886,10780,9.0,-330.0,1629929550.0,30.0,-330.0,1629929550.0,30.0,0.0,TU-18313865-BT 21_22-AUG_FUL-Weekday-01,1629926356,3330072
18313865-BT 21_22-AUG_FUL-Weekday-01,07:55:00,20210826,333-1886,10866,10.0,-351.0,1629929829.0,30.0,-351.0,1629929829.0,30.0,0.0,TU-18313865-BT 21_22-AUG_FUL-Weekday-01,1629926356,3330072
18313865-BT 21_22-AUG_FUL-Weekday-01,07:55:00,20210826,333-1886,1090,11.0,-404.0,1629929956.0,30.0,-351.0,1629930009.0,30.0,0.0,TU-18313865-BT 21_22-AUG_FUL-Weekday-01,1629926356,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,11270,1.0,,,,0.0,1629929100.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629926836,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,11272,2.0,5.0,1629929165.0,30.0,5.0,1629929165.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629926836,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,469,3.0,-77.0,1629929443.0,30.0,-77.0,1629929443.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629926836,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,897,4.0,-198.0,1629929622.0,30.0,-198.0,1629929622.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629926836,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,891,5.0,-143.0,1629929737.0,30.0,-143.0,1629929737.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629926836,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,884,6.0,-156.0,1629929844.0,30.0,-156.0,1629929844.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629926836,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,893,7.0,-196.0,1629929924.0,30.0,-196.0,1629929924.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629926836,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,10792,8.0,-260.0,1629930040.0,30.0,-260.0,1629930040.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629926836,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,10780,9.0,-330.0,1629930150.0,30.0,-330.0,1629930150.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629926836,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,10866,10.0,-351.0,1629930429.0,30.0,-351.0,1629930429.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629926836,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,11270,1.0,,,,0.0,1629929700.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629926746,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,11272,2.0,5.0,1629929765.0,30.0,5.0,1629929765.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629926746,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,469,3.0,-77.0,1629930043.0,30.0,-77.0,1629930043.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629926746,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,897,4.0,-198.0,1629930222.0,30.0,-198.0,1629930222.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629926746,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,891,5.0,-143.0,1629930337.0,30.0,-143.0,1629930337.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629926746,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,10866,10.0,-10.0,1629931370.0,30.0,-10.0,1629931370.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629931232,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,1090,11.0,-145.0,1629931415.0,30.0,-145.0,1629931415.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629931232,3330072
18313865-BT 21_22-AUG_FUL-Weekday-01,07:55:00,20210826,333-1886,11272,2.0,183.0,1629928743.0,30.0,183.0,1629928743.0,30.0,0.0,TU-18313865-BT 21_22-AUG_FUL-Weekday-01,1629928682,3330072
18313865-BT 21_22-AUG_FUL-Weekday-01,07:55:00,20210826,333-1886,469,3.0,71.0,1629928991.0,30.0,71.0,1629928991.0,30.0,0.0,TU-18313865-BT 21_22-AUG_FUL-Weekday-01,1629928682,3330072
18313865-BT 21_22-AUG_FUL-Weekday-01,07:55:00,20210826,333-1886,897,4.0,-51.0,1629929169.0,30.0,-51.0,1629929169.0,30.0,0.0,TU-18313865-BT 21_22-AUG_FUL-Weekday-01,1629928682,3330072
18313865-BT 21_22-AUG_FUL-Weekday-01,07:55:00,20210826,333-1886,891,5.0,5.0,1629929285.0,30.0,5.0,1629929285.0,30.0,0.0,TU-18313865-BT 21_22-AUG_FUL-Weekday-01,1629928682,3330072
18313865-BT 21_22-AUG_FUL-Weekday-01,07:55:00,20210826,333-1886,884,6.0,-9.0,1629929391.0,30.0,-9.0,1629929391.0,30.0,0.0,TU-18313865-BT 21_22-AUG_FUL-Weekday-01,1629928682,3330072
18313865-BT 21_22-AUG_FUL-Weekday-01,07:55:00,20210826,333-1886,893,7.0,-48.0,1629929472.0,30.0,-48.0,1629929472.0,30.0,0.0,TU-18313865-BT 21_22-AUG_FUL-Weekday-01,1629928682,3330072
18313865-BT 21_22-AUG_FUL-Weekday-01,07:55:00,20210826,333-1886,10792,8.0,-112.0,1629929588.0,30.0,-112.0,1629929588.0,30.0,0.0,TU-18313865-BT 21_22-AUG_FUL-Weekday-01,1629928682,3330072
18313865-BT 21_22-AUG_FUL-Weekday-01,07:55:00,20210826,333-1886,10780,9.0,-183.0,1629929697.0,30.0,-183.0,1629929697.0,30.0,0.0,TU-18313865-BT 21_22-AUG_FUL-Weekday-01,1629928682,3330072
18313865-BT 21_22-AUG_FUL-Weekday-01,07:55:00,20210826,333-1886,10866,10.0,-203.0,1629929977.0,30.0,-203.0,1629929977.0,30.0,0.0,TU-18313865-BT 21_22-AUG_FUL-Weekday-01,1629928682,3330072
18313865-BT 21_22-AUG_FUL-Weekday-01,07:55:00,20210826,333-1886,1090,11.0,-257.0,1629930103.0,30.0,-257.0,1629930103.0,30.0,0.0,TU-18313865-BT 21_22-AUG_FUL-Weekday-01,1629928682,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,11270,1.0,,,,0.0,1629929100.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629926956,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,11272,2.0,5.0,1629929165.0,30.0,5.0,1629929165.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629926956,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,469,3.0,-77.0,1629929443.0,30.0,-77.0,1629929443.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629926956,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,897,4.0,-198.0,1629929622.0,30.0,-198.0,1629929622.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629926956,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,891,5.0,-143.0,1629929737.0,30.0,-143.0,1629929737.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629926956,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,884,6.0,-156.0,1629929844.0,30.0,-156.0,1629929844.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629926956,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,893,7.0,-196.0,1629929924.0,30.0,-196.0,1629929924.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629926956,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,10792,8.0,-260.0,1629930040.0,30.0,-260.0,1629930040.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629926956,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,10780,9.0,-330.0,1629930150.0,30.0,-330.0,1629930150.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629926956,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,10866,10.0,-351.0,1629930429.0,30.0,-351.0,1629930429.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629926956,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,1090,11.0,-404.0,1629930556.0,30.0,-351.0,1629930609.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629926956,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,11270,1.0,,,,0.0,1629929700.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629927556,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,11272,2.0,5.0,1629929765.0,30.0,5.0,1629929765.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629927556,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,469,3.0,-77.0,1629930043.0,30.0,-77.0,1629930043.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629927556,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,897,4.0,-198.0,1629930222.0,30.0,-198.0,1629930222.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629927556,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,891,5.0,-143.0,1629930337.0,30.0,-143.0,1629930337.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629927556,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,884,6.0,-156.0,1629930444.0,30.0,-156.0,1629930444.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629927556,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,893,7.0,-196.0,1629930524.0,30.0,-196.0,1629930524.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629927556,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,10792,8.0,-260.0,1629930640.0,30.0,-260.0,1629930640.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629927556,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,10780,9.0,-330.0,1629930750.0,30.0,-330.0,1629930750.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629927556,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,10866,10.0,-351.0,1629931029.0,30.0,-351.0,1629931029.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629927556,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,1090,11.0,-404.0,1629931156.0,30.0,-351.0,1629931209.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629927556,3330072
18313865-BT 21_22-AUG_FUL-Weekday-01,07:55:00,20210826,333-1886,10780,9.0,-73.0,1629929807.0,30.0,-44.0,1629929835.0,30.0,0.0,TU-18313865-BT 21_22-AUG_FUL-Weekday-01,1629929794,3330072
18313865-BT 21_22-AUG_FUL-Weekday-01,07:55:00,20210826,333-1886,10866,10.0,-67.0,1629930113.0,30.0,-67.0,1629930113.0,30.0,0.0,TU-18313865-BT 21_22-AUG_FUL-Weekday-01,1629929794,3330072
18313865-BT 21_22-AUG_FUL-Weekday-01,07:55:00,20210826,333-1886,1090,11.0,-121.0,1629930239.0,30.0,-121.0,1629930239.0,30.0,0.0,TU-18313865-BT 21_22-AUG_FUL-Weekday-01,1629929794,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,11270,1.0,157.0,1629929857.0,30.0,157.0,1629929857.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629929787,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,11272,2.0,62.0,1629929822.0,30.0,106.0,1629929865.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629929787,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,469,3.0,-20.0,1629930100.0,30.0,-20.0,1629930100.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629929787,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,897,4.0,-141.0,1629930279.0,30.0,-141.0,1629930279.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629929787,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,891,5.0,-86.0,1629930394.0,30.0,-86.0,1629930394.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629929787,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,884,6.0,-99.0,1629930501.0,30.0,-99.0,1629930501.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629929787,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,893,7.0,-139.0,1629930581.0,30.0,-139.0,1629930581.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629929787,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,10792,8.0,-203.0,1629930697.0,30.0,-203.0,1629930697.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629929787,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,10780,9.0,-273.0,1629930807.0,30.0,-273.0,1629930807.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629929787,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,10866,10.0,-294.0,1629931086.0,30.0,-294.0,1629931086.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629929787,3330072
18314171-BT 21_22-AUG_FUL-Weekday-01,08:15:00,20210826,333-1886,1090,11.0,-347.0,1629931213.0,30.0,-347.0,1629931213.0,30.0,0.0,TU-18314171-BT 21_22-AUG_FUL-Weekday-01,1629929787,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,891,5.0,-73.0,1629929807.0,30.0,-44.0,1629929835.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629929784,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,884,6.0,-51.0,1629929949.0,30.0,-51.0,1629929949.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629929784,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,893,7.0,-91.0,1629930029.0,30.0,-91.0,1629930029.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629929784,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,10792,8.0,-154.0,1629930146.0,30.0,-154.0,1629930146.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629929784,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,10780,9.0,-225.0,1629930255.0,30.0,-225.0,1629930255.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629929784,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,10866,10.0,-245.0,1629930535.0,30.0,-245.0,1629930535.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629929784,3330072
18314026-BT 21_22-AUG_FUL-Weekday-01,08:05:00,20210826,333-1886,1090,11.0,-299.0,1629930661.0,30.0,-299.0,1629930661.0,30.0,0.0,TU-18314026-BT 21_22-AUG_FUL-Weekday-01,1629929784,3330072
